id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
110,Textra P 105,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P 105.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P 105.pdf,Carrageenan,AWA Food Solutions,AWA Food Solutions,0.2 – 0.5%,24 months from production date,moisture content: Max. 10%; total plate count: Max. 1000 cfu/g; yeast and mold: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,Carrageenan E-407,"Heavy duty bags, 25 kg",Stored in dry place away from direct sunlight,None declared,Powder form,"Carrageenan, used in processed cheese; Meat."
111,Textra P106,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P 106.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P 106.pdf,Blend of Food Grade Stabilizers and Emulsifiers,AWA Food Solutions,AWA Food Solutions,0.2%-0.6%,24 months from production date,moisture: 5-8.5%; viscosity: 350-500 cP,Carrageenan E-407; Xanthan Gum E-415; Emulsifier E-471,"Heavy duty bags, 25 kg s.code: 80034",Stored in dry place away from direct sunlight,None declared,,"Blend of Food Grade Stabilizers and Emulsifiers, used in spreadable Processed cheese."
112,Textra P 108 AH,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P 108 AH.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P 108 AH.pdf,Blend of Food Grade Stabilizers,AWA Food Solutions,AWA Food Solutions,0.1%-0.5%,24 months from production date,moisture: Max 10%; viscosity: Min 350 cP; pH: 6 – 8.5,Modified Starch E-1422; Xanthan Gum E-415; Emulsifier E-471; Carrageenan E-407,"Heavy duty bags, 25 kg s.code: 80142",Stored in dry place away from direct sunlight,None declared,,"Blend of Food Grade Stabilizers, used in spreadable Processed cheese."
113,Textra P 125,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P 125.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P 125.pdf,Blend of Food Grade Stabilizers,AWA Food Solutions,AWA Food Solutions,0.1 – 0.2%,24 months from production date,"Loss on drying Max. 15%, pH 6.5 – 7.5",Carrageenan E-407; Xanthan Gum E-415; Trisodium phosphate; Locust Bean gum,"Heavy duty bags, 25 kg","Away from aromatic products, Under conditions not exceeding 25 °C and 70% atmospheric humidity",None declared,Creamy to white powder,"Blend of Food Grade Stabilizers manufactured by Awa Foodsolutions, used in spreadable processed cheese."
114,Textra P 204,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P 204.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P 204.pdf,Gelling System,AWA Food Solutions,AWA Food Solutions,0.8 – 2%,24 months from production date,moisture: Max. 12%; viscosity: Min 30 cP; ash: Max 5%,Maltodextrin; Cellulose gum E466; Carrageenan E407; Sodium alginate E401; Locust bean gum E410,"Heavy duty bags, 25 kg",Should be stored under cool and dry conditions in unopened bags,,Off-white to yellowish powder,"Gelling System manufactured by Awa Foodsolutions, used in spreadable processed cheese."
115,TEXTRA     P 104   25 kg,TEXTRA     P 104   25 kg,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Standardized food grade functional ingredient.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P104.pdf).,Single Product,None,Textra P104.pdf,Carrageenan,AWA Food Solutions,AWA Food Solutions,0.05 - 0.10%,2 years,pH: 6.50 - 7.50; moisture: Max. 14%; water viscosity: Min. 10 mPas; water gel strength: Min. 30 gf; potassium gel strength: 60 - 190 gf,Carrageenan E 407a,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy – white powder,"Carrageenan, used in dairy Products; Chocolate Milk; Flans; Custards."
116,Textra P105K,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P105K.PDF).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P105K.PDF,Food Grade Carrageenan,AWA Food Solutions,AWA Food Solutions,0.2 – 0.5%,2 years from date of production,moisture: Max. 10%; pH: 7-11; gel strength: Min 230 gf,"Carrageenan E407, Dextrose, Potassium Chloride E508","Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Powder form,"Food Grade Carrageenan, used in processed cheese, Meat."
117,Textra P106 R,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P106 R.PDF).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P106 R.PDF,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,AWA Food Solutions,0.08 – 0.15%,2 years,"appearance: Creamy to white powder; odor: Neutral; moisture: Max. 12%; viscosity: Min. 300 cPs (LV, 50rpm, L2, at 25˚C)","Carrageenan E407, Xanthan Gum E415, Emulsifier E471","Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,,Creamy to white powder,"Modified Starch, Emulsifier, Carrageenan, used in meat products, cheese."
118,Textra P106 X,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P106 X.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P106 X.pdf,Blend of Food Grade Stabilizers and Emulsifiers,AWA Food Solutions,AWA Food Solutions,0.2 - 0.6%,2 years,moisture: 5 : 8.5%; viscosity: 500 cPs (at 25˚C),Carrageenan E407; Xanthan Gum E415; Trisodium citrate E331,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,,"Blend of Food Grade Stabilizers and Emulsifiers, used in processed cheese."
119,Textra P53,Textra / Revastab Meat & Gelling Blends,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra P53.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Ingreva RevaStab MCV; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Textra P53.pdf,Blend of Food Grade Stabilizers,AWA Food Solutions,AWA Food Solutions,0.5 – 0.8%,2 years,appearance: Creamy to White Powder; odor: Neutral; moisture: Max. 10%; viscosity: Min. 30 cPs (1% solution),Carrageenan E407; Xanthan Gum E415; Emulsifier E471,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers, used in spreadable processed cheese."
120,Textra T 13,Textra T 13,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Standardized food grade functional ingredient.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra T 13-.pdf).,Single Product,None,Textra T 13-.pdf,Modified Starch,AWA Food Solutions,AWA Food Solutions,2.00 – 2.50%,24 months from production date,Loss on drying: Max. 18%; pH (1% aqueous solution): 6-8,"Native Starch, Tricalcium Phosphate",25 kg Heavy duty bags,"Cool and dry conditions, Away from aromatic products",None declared,Creamy to white powder,"Modified Starch manufactured by Awa Foodsolutions, used in meat products, cheese, bakery."
121,Textra TP 100,Textra TP 100,Meat & Poultry,Processed Meat,Emulsified Sausages,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Processed Meat ➔ Emulsified Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra TP 100.pdf).,Single Product,None,Textra TP 100.pdf,Unique Filler of Natural Ingredients,AWA Food Solutions,AWA Food Solutions,"Replace 3kg of 36 Brix tomato paste with 1kg of Textra TP 100+2kg water, or 6-15% of tomato paste or 10% of tomato sauce",2 years from date of production,Moisture: Max 10%; Protein: Max 12%; Total Plate Count: Max. 1000 cfu/g; Total Yeasts and Molds Count: Max. 500 cfu/g; Coliform: <10 cfu/g; E. coli: Absent,Vegetable Origin Fibers,"Paper sacks with polyethylene liner, 25 Kg",Store in a dry place away from heat and humidity,Contains: Soybeans,,"Unique Filler of Natural Ingredients, used in tomato Sauce, Ketchup."
122,Textra Talaga 1000,Textra Talaga 1000,Dairy,Cheese,Triangular Processed Cheese,Specialized texturizer and emulsification stabilizer to prevent fat separation and eliminate oiling-off in portioned foil triangles.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese ➔ Triangular Processed Cheese | [TDS Status]: Fully verified against authentic Technical Data Sheet (Textra Talaga 1000.pdf).,Single Product,None,Textra Talaga 1000.pdf,Blend of Food Grade Stabilizers & Emulsifier,AWA Food Solutions,AWA Food Solutions,0.3 -0.5% depending on protein,2 years from date of production,moisture: Max.8%; pH: 6 : 7,Mono and diglyceride E471; Guar Gum E412; MCC E460; Salt,Paper sacks with polyethylene liner 25 Kg.,Store in a dry place away from heat and humidity.,None declared,Creamy to white powder,"Blend of Food Grade Stabilizers & Emulsifier, used in white cheese."
123,Valiren 2400 Granular,Valiren 2400 Granular,Dairy,Cheese,Hard & White Cheese Coagulation,High-purity microbial coagulant ensuring clean enzymatic milk clotting and high curd yield.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese ➔ Hard & White Cheese Coagulation | [TDS Status]: Fully verified against authentic Technical Data Sheet (Valiren 2400 Granular SPECIFICATION v3.pdf).,Single Product,None,Valiren 2400 Granular SPECIFICATION v3.pdf,Modified Starch,AWA Food Additives,Mayasan Biotech,7-11 gram per 1000 litres of milk,3 years under storage conditions,Activity: ≥ 2400 IMCU/g; Heavy metals: < = 30 ppm; Lead: < = 5 ppm; Arsenic: < = 3 ppm; Mercury: < = 0.5 ppm; Cadmium: < = 0.5 ppm,"Microbial Rennet derived from Rhizomucor miehei (milk clotting protease enzyme), sodium chloride, sodium benzoate","Food Grade HDPE, available in various different packaging starting from 0.5 kg to 50 kg","Sealed containers under cool, Dry conditions to minimize the loss of activity. Shelf life can be extended by storing under refrigeration at 5°C.",None declared,Brownish granular,"Modified Starch, used in enzyme use levels are generally dictated by processing conditions, milk composition, and CaCl concentration. In general, 7-11 gram of Valiren 2400 Granular is used per 1000 litres of milk, but laboratory or pilot scale tests should be run to optimize dose levels."
124,Vanillia-01,Vanillia-01,Bakery,Cake & Bakery,"Cakes, Cookies & Wafers",Heat-stable rich vanilla aroma and sweet dairy notes in baked goods.,No,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Bakery ➔ Cake & Bakery ➔ Cakes, Cookies & Wafers | [TDS Status]: Fully verified against authentic Technical Data Sheet (Vanillia-01.pdf).",Single Product,None,Vanillia-01.pdf,Modified Starch,AWA Food Additives,AWA Food Solutions,0.1 – 0.5% according also to desired flavor intensity and application,2 years from date of production,moisture: 9% Max.; total plate count: Max. 1000 cfu/g; yeast and mold: Max. 500 cfu/g; coliform: <10 cfu/g; e coli: Absent,Vanilla; Monosaccharides,Paper sacks with polyethylene liner,Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in cakes; Beverages; Confectionery; Chocolates; Bakery; Ice Cream."
125,textra w 138,textra w 138,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (textra w 138.pdf).,Single Product,None,textra w 138.pdf,"Modified Starch, Emulsifier, Carrageenan",AWA Food Solutions,AWA Food Solutions,0.1% (1kg/ton),24 months from production date,moisture: Max 5%; viscosity: Min 10cP at 25°C,Salt; Emulsifiers E471; Gelatin E441; Disodium phosphate E339; Guar Gum E412; Carrageenan E407,"Paper sacks with polyethylene liner, 25kg",Stored in dry place away from direct sunlight,None declared,,"Modified Starch, Emulsifier, Carrageenan, used in cutting soft white cheese."
126,Solvarin ACAD-B,Solvarin ACAD-B,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",No,Yes,R&D Validated,Approved (TDS Verified),"[Taxonomy Aligned]: Sauces, Condiments & Dressings ➔ Tomato & Table Sauces ➔ Ketchup & BBQ Sauces | [TDS Status]: Fully verified against authentic Technical Data Sheet (Solvarin ACAD-B spec.EN.pdf).",Single Product,None,Solvarin ACAD-B spec.EN.pdf,Acetylated Adipan of Potato Starch E 1422,AWA Food Additives,"Škrobárny Pelhřimov, a.s",,24 months from production date,"Dry matter min 80.0%, pH 5.5-7.5","potato starch (food grade), acetylated adipan and esterifyed acetanhydrid","multi layer paper sacks, 20 or 25 kg",Unopened package stored in dry and clean place without presence of material which odour could adversaly influence the product,None declared,"Mild powder, Slightly yellowish. Clean, Without odour or taste.","Acetylated Adipan of Potato Starch E 1422 manufactured by Škrobárny Pelhřimov, a.s, used in cheese production/industry."
127,"Paprika Oleoresin 100,000 CU",Paprika Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN PAPRIKA (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),"Paprika Oleoresin 20,000 CU; Paprika Oleoresin 1000; Paprika Oleoresin 1001; Paprika Oleoresin 1002; Paprika Oleoresin 1003; Paprika Oleoresin 1004; Paprika Oleoresin 1005; Paprika Oleoresin 1006; Paprika Oleoresin 1007; Paprika Oleoresin 1008; Paprika Oleoresin 1009; Paprika Oleoresin 1010; Paprika Oleoresin 1011; Paprika Oleoresin 1012; Paprika Oleoresin 1013; Paprika Oleoresin 1014; Paprika Oleoresin 1015; Paprika Oleoresin 1016; Paprika Oleoresin 1017; Paprika Oleoresin 1018; Paprika Oleoresin 1019; Paprika Oleoresin 1020; Paprika Oleoresin 1021; Paprika Oleoresin 1022; Paprika Oleoresin 1023; Paprika Oleoresin 40,000 CU; Paprika Oleoresin 40,000 CU OS; Paprika Oleoresin 40,000 CU WS; Paprika Oleoresin 60,000 CU; Paprika Oleoresin 80,000 CU",OLEORESIN PAPRIKA (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Color value: Residual Solvent (Total) 20 ppm max. FCC VII th Edition; Capsaicin: Residual Solvent (Total) 20 ppm max. FCC VII th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC VII th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,"Botanical Name: Capsicum annuum L.(Family: Solanaceae),; is obtained by solvent extraction of paprika, Capsicum annuum L.(family: Solanaceae)","HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark red oil  liquid,"OLEORESIN PAPRIKA manufactured for AWA Bio, used in savory processed food solutions."
128,Rosemary Oleoresin 1001,Rosemary Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Rosemary oleoresin (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Rosemary oleoresin (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent <20 ppm max. FCC VII th Edition; Residual solvents: Residual Solvent <20 ppm max. FCC VII th Edition; Heavy metals: Lead <5ppm AOAC 16th Edition,General Name: Rosemary; Rosemary extract is obtained by solvent extraction of dried,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Greenish brown coloured viscous liquid.,"Rosemary oleoresin manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant."
129,Thyme Oleoresin 1001,Thyme Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN THYME (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,OLEORESIN THYME (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions.,Volatile oil: Residual Solvent <20 ppm max. FCC VII th Edition; Residual solvents: Residual Solvent <20 ppm max. FCC VII th Edition; Heavy metals: Lead <5ppm AOAC 16th Edition,General Name: OLEORESIN THYME; is made by solvent extraction of the dried,"HDPE Jerry Cans,Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown pourable liquid .,"OLEORESIN THYME manufactured for AWA Bio, used in savory& processed food solutions, anti-oxidant."
130,OLEORESIN TURMERIC,OLEORESIN TURMERIC,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN TURMERIC (Oleoresins).pdf).,Single Product,None,OLEORESIN TURMERIC (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Curcumin: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Curcuma longa L. ( Family:Zingiberaceae); Solvent extraction of the dried rhizomes of Curcuma longa L.,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellow to Orange viscous liquid.,"OLEORESIN TURMERIC manufactured for AWA Bio, used in savory&processed food solutions."
131,Pepper White Oleoresin 1001,Pepper White Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN WHITE PEPPER (Oleoresins).pdf).,Single Product,None,OLEORESIN WHITE PEPPER (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Piperine: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Piper nigrum L. (Family: Piperaceae).; Solvent extraction of the white pepper prepared from ripe pepper berries by disintegration of,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light yellowish brown liquid.,"OLEORESIN WHITE PEPPER manufactured for AWA Bio, used in savory& processed food solutions,."
132,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Instant pungent piperine impact and uniform distribution on potato/corn chips.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Black Pepper (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),Pepper Black Oleoresin 1002; Pepper Black Oleoresin 1003; Pepper Black Oleoresin 1004; Pepper Black Oleoresin 1005; Pepper Black Oleoresin 1006; Pepper Black Oleoresin 1007; Pepper Black Oleoresin 1008; Pepper Black Oleoresin 1009; Pepper Black Oleoresin 1010; Pepper Black Oleoresin 1011; Pepper Black Oleoresin 1012; Pepper Black Oleoresin 1013; Pepper Black Oleoresin 1014; Pepper Black Oleoresin 1015; Pepper Black Oleoresin 1016; Pepper Black Oleoresin 1017; Pepper Black Oleoresin 1018; Pepper Black Oleoresin 1019; Pepper Black Oleoresin 1020; Pepper Black Oleoresin 1021; Pepper Black Oleoresin 1022; Pepper Black Oleoresin 1023; Pepper Black Oleoresin 1024; Pepper Black Oleoresin 1025; Pepper Black Oleoresin 1026; Pepper Black Oleoresin 1027; Pepper Black Oleoresin 1028; Pepper Black Oleoresin 1029; Pepper Black Oleoresin 1030; Pepper Black Oleoresin 1031; Pepper Black Oleoresin 1032; Pepper Black Oleoresin 40/20,Oleoresin Black Pepper (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Piperine: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Piper nigrum L. (Family: Piperaceae).; is obtained by solvent extraction of the dry unripe berries of Piper nigrum L.,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Olive Green coloured viscous Product,"Oleoresin Black Pepper manufactured for AWA Bio, used in savory& processed food solutions."
