material_id,material_name,product_family,tds_found,industry_level_1,category_level_2,application_level_3,is_primary_application,application_function_details,validation_status
110,Textra P 105,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
111,Textra P106,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
111,Textra P106,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
112,Textra P 108 AH,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
112,Textra P 108 AH,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
112,Textra P 108 AH,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
113,Textra P 125,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
113,Textra P 125,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
113,Textra P 125,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
114,Textra P 204,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
114,Textra P 204,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
114,Textra P 204,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
115,TEXTRA     P 104   25 kg,TEXTRA     P 104   25 kg,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,Standardized food grade functional ingredient.,R&D Validated
116,Textra P105K,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
116,Textra P105K,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
116,Textra P105K,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
117,Textra P106 R,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
117,Textra P106 R,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
118,Textra P106 X,Textra / Revastab Meat & Gelling Blends,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
118,Textra P106 X,Textra / Revastab Meat & Gelling Blends,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
119,Textra P53,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
119,Textra P53,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
119,Textra P53,Textra / Revastab Meat & Gelling Blends,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
120,Textra T 13,Textra T 13,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,Standardized food grade functional ingredient.,R&D Validated
121,Textra TP 100,Textra TP 100,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,Yes,"Optimizes myofibrillar protein activation, binds fat and water tightly, and enhances casing bite in frankfurters.",R&D Validated
121,Textra TP 100,Textra TP 100,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,"Reduces cooking shrinkage, maintains juiciness, and prevents fat-out in burger patties.",R&D Validated
121,Textra TP 100,Textra TP 100,Yes,Meat & Poultry,Poultry Processing,Injected Chicken / Turkey Breasts,No,Improves yield and texture in injected whole muscle poultry and nuggets.,R&D Validated
122,Textra Talaga 1000,Textra Talaga 1000,Yes,Dairy,Cheese,Triangular Processed Cheese,Yes,Specialized texturizer and emulsification stabilizer to prevent fat separation and eliminate oiling-off in portioned foil triangles.,R&D Validated
122,Textra Talaga 1000,Textra Talaga 1000,Yes,Dairy,Cheese,Spreadable Processed Cheese,No,Delivers smooth velvety spreadability and emulsion stability in glass jars and plastic tubs.,R&D Validated
123,Valiren 2400 Granular,Valiren 2400 Granular,Yes,Dairy,Cheese,Hard & White Cheese Coagulation,Yes,High-purity microbial coagulant ensuring clean enzymatic milk clotting and high curd yield.,R&D Validated
124,Vanillia-01,Vanillia-01,Yes,Bakery,Cake & Bakery,"Cakes, Cookies & Wafers",Yes,Heat-stable rich vanilla aroma and sweet dairy notes in baked goods.,R&D Validated
124,Vanillia-01,Vanillia-01,Yes,Dairy,Frozen Dairy,Vanilla Ice Cream & Custards,No,Smooth natural vanilla top-notes.,R&D Validated
125,textra w 138,textra w 138,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",R&D Validated
125,textra w 138,textra w 138,Yes,Bakery,Cake & Bakery,Sponge Cake & Pastry Fillings,No,Texture enhancement and moisture stabilization.,R&D Validated
126,Solvarin ACAD-B,Solvarin ACAD-B,Yes,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,Yes,"Delivers freeze-thaw stability, high shear resistance, glossy sheen, and smooth texture.",R&D Validated
126,Solvarin ACAD-B,Solvarin ACAD-B,Yes,Dairy,Fermented Dairy,Yogurt,No,Provides spoonable thickness and creaminess without syneresis.,R&D Validated
126,Solvarin ACAD-B,Solvarin ACAD-B,Yes,Bakery,Pastry Fillings,Bake-Stable Jams & Pie Fillings,No,Bake-stable body builder in fruit custards and fillings.,R&D Validated
127,"Paprika Oleoresin 100,000 CU",Paprika Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Standardized carotenoid color (ASTA / Color Units) combined with authentic sweet paprika aroma.,R&D Validated
127,"Paprika Oleoresin 100,000 CU",Paprika Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Natural red-orange color standardization and mild warm spice notes in sausages.,R&D Validated
127,"Paprika Oleoresin 100,000 CU",Paprika Oleoresin,Yes,"Sauces, Condiments & Dressings",Tomato & Table Sauces,Ketchup & BBQ Sauces,No,Enhances tomato hue and warm spice background in sauces.,R&D Validated
128,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
128,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
129,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
129,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
130,OLEORESIN TURMERIC,OLEORESIN TURMERIC,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
130,OLEORESIN TURMERIC,OLEORESIN TURMERIC,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
131,Pepper White Oleoresin 1001,Pepper White Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
131,Pepper White Oleoresin 1001,Pepper White Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
132,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Instant pungent piperine impact and uniform distribution on potato/corn chips.,R&D Validated
132,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Standardized black pepper heat and terpene aroma without microbial contamination.,R&D Validated
132,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,"Sauces, Condiments & Dressings",Marinades & Pickling,Meat / Poultry Marinades,No,Standardized spice profile for tumbling marinades and table gravies.,R&D Validated
133,Fennel Oleoresin 1001,Fennel Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
133,Fennel Oleoresin 1001,Fennel Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
134,Oleoresin Basil,Oleoresin Basil,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
134,Oleoresin Basil,Oleoresin Basil,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
135,Capsicum Oleoresin 1001,Capsicum Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
135,Capsicum Oleoresin 1001,Capsicum Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
136,Cardamom Oleoresin 1001,Cardamom Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
136,Cardamom Oleoresin 1001,Cardamom Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
137,OLEORESIN CELERY,OLEORESIN CELERY,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
137,OLEORESIN CELERY,OLEORESIN CELERY,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
138,Cassia Oleoresin 1001,Cassia / Cinnamon Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
138,Cassia Oleoresin 1001,Cassia / Cinnamon Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
139,Clove Bud Oleoresin 1001,Clove Bud Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
139,Clove Bud Oleoresin 1001,Clove Bud Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
140,Coriander Oleoresin 1001,Coriander Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
140,Coriander Oleoresin 1001,Coriander Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
141,Cumin Oleoresin 1001,Cumin Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
141,Cumin Oleoresin 1001,Cumin Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
142,Fenugreek Oleoresin 1001,Fenugreek Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
142,Fenugreek Oleoresin 1001,Fenugreek Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
143,Ginger Oleoresin 1001,Ginger Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
143,Ginger Oleoresin 1001,Ginger Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
144,Mace Oleoresin,Mace Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
144,Mace Oleoresin,Mace Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
145,Nutmeg Oleoresin 1001,Nutmeg Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
145,Nutmeg Oleoresin 1001,Nutmeg Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
146,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
146,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
147,Celery Seed Oil,Celery Seed Oil,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
147,Celery Seed Oil,Celery Seed Oil,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
148,CINNAMON LEAF OIL,CINNAMON LEAF OIL,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
148,CINNAMON LEAF OIL,CINNAMON LEAF OIL,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
149,CLOVE LEAF OIL,CLOVE LEAF OIL,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
149,CLOVE LEAF OIL,CLOVE LEAF OIL,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
150,Coriander Oleoresin 1001,Coriander Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
150,Coriander Oleoresin 1001,Coriander Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
151,Cumin Oleoresin 1001,Cumin Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
151,Cumin Oleoresin 1001,Cumin Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
152,Dill Oleoresin 1001,Dill Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
152,Dill Oleoresin 1001,Dill Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
153,EUGENOL,EUGENOL,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,Standardized food grade functional ingredient.,R&D Validated
154,Garlic Oleoresin 1001,Garlic Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,R&D Validated
154,Garlic Oleoresin 1001,Garlic Oleoresin,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,R&D Validated
154,Garlic Oleoresin 1001,Garlic Oleoresin,Yes,"Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",R&D Validated
155,Ginger Oleoresin 1001,Ginger Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
155,Ginger Oleoresin 1001,Ginger Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
156,Mace OIL,Mace OIL,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
156,Mace OIL,Mace OIL,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
157,Mustard Oleoresin 1001,Mustard Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
157,Mustard Oleoresin 1001,Mustard Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
158,Nutmeg Oleoresin 1001,Nutmeg Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
158,Nutmeg Oleoresin 1001,Nutmeg Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
159,Onion Oleoresin 1001,Onion Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Authentic pungent allium sulfur aroma and fresh taste notes at micro-dosage.,R&D Validated
159,Onion Oleoresin 1001,Onion Oleoresin,Yes,Meat & Poultry,Minced Meat & Meat Alternatives,"Burgers, Kofta & Meatballs",No,Clean allium flavor integration without scorching on open grills.,R&D Validated
159,Onion Oleoresin 1001,Onion Oleoresin,Yes,"Sauces, Condiments & Dressings",Emulsified Sauces & Dips,Mayonnaise / Salad Dressings,No,"Provides garlic/onion top notes in dressings, ranch, and dipping sauces.",R&D Validated
160,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
160,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
161,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
161,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
162,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
162,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
163,Aniseed Oil,Aniseed Oil,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
163,Aniseed Oil,Aniseed Oil,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
164,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Instant pungent piperine impact and uniform distribution on potato/corn chips.,R&D Validated
164,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Standardized black pepper heat and terpene aroma without microbial contamination.,R&D Validated
164,Pepper Black Oleoresin 1001,Pepper Black Oleoresin,Yes,"Sauces, Condiments & Dressings",Marinades & Pickling,Meat / Poultry Marinades,No,Standardized spice profile for tumbling marinades and table gravies.,R&D Validated
165,Cardamom Oleoresin 1001,Cardamom Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
165,Cardamom Oleoresin 1001,Cardamom Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
166,Cassia Oleoresin 1001,Cassia / Cinnamon Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
166,Cassia Oleoresin 1001,Cassia / Cinnamon Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
167,Natural Mixed Tocopherols,Natural Mixed Tocopherols,Yes,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,Yes,Standardized food grade functional ingredient.,R&D Validated
168,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
168,Thyme Oleoresin 1001,Thyme Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
169,Oleoresin Basil,Oleoresin Basil,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
169,Oleoresin Basil,Oleoresin Basil,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
170,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
170,Oregano Oleoresin 1001,Oregano Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
171,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
171,Rosemary Oleoresin 1001,Rosemary Oleoresin,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
172,Oleoresin spinach,Oleoresin spinach,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
172,Oleoresin spinach,Oleoresin spinach,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
173,Burger Spice Blend,Burger Spice Blend,Yes,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Yes,Concentrated standardized spice flavor profile for topical dusting and snacks.,R&D Validated
173,Burger Spice Blend,Burger Spice Blend,Yes,Meat & Poultry,Processed Meat,Emulsified Sausages,No,Even seasoning dispersion in cutter or tumbler without microbial load.,R&D Validated
